iMod_number,CpxR,SoxR,CzcR,PprB,EsrC,MexS-1,MexS-2,CueR,MexZ,AmpC
M9GlucAA_Ceft,-1.58827425,7.782307715,-2.99079865,-13.860423,0.103544725,-13.0939375,-0.62794926,2.724950145,0.44236443,0.825895435
M9GlucAA_Pip,-1.0663826,6.056943775,-0.03485602,-6.1953569,0.561176885,-13.484573,-0.578846285,-5.0882488,0.967597325,2.4293945
M9GlucAA_Gent,-0.737186,5.894775155,-0.14567015,-6.30480065,1.276615275,-13.2604525,0.115863235,-4.5634221,0.8705391,0.050735215
M9GlucAA_Azt,1.668817365,4.728062915,9.00845332,-5.0410466,7.240956945,-15.1846805,3.373535785,-1.0993549,-1.46572605,1.084218655
M9GlucAA,-0.07640845,1.696535915,-1.084655545,-11.0626674,-0.74533464,-12.500191,1.317704755,1.21348473,1.20781579,-0.9676273
